league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
AUT-Bundesliga,2024-25,Rapid Wien,Jonas Auer,AUT,DF,23,2000,21.9,,27,,,,,,,,,,,19,,,
AUT-Bundesliga,2024-25,Rapid Wien,Louis Schaub,AUT,MF,29,1994,18.2,,13,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,Rapid Wien,Lukas Grgic,AUT,MF,28,1995,21.7,,28,,,,,,,,,,,19,,,
AUT-Bundesliga,2024-25,Rapid Wien,Mamadou Sangare,MLI,MF,22,2002,22.7,,40,,,,,,,,,,,46,,,
AUT-Bundesliga,2024-25,Rapid Wien,Matthias Seidl,AUT,MF,23,2001,27.8,,24,,,,,,,,,,,10,,,
AUT-Bundesliga,2024-25,Rapid Wien,Maximilian Hofmann,AUT,DF,30,1993,3.3,,4,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,Rapid Wien,Moritz Oswald,AUT,"MF,DF",22,2002,9.3,,17,,,,,,,,,,,15,,,
AUT-Bundesliga,2024-25,Rapid Wien,Nenad N. Cvetković,SRB,DF,28,1996,17.7,,19,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,Rapid Wien,Niklas Hedl,AUT,GK,23,2001,29.3,,2,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Rapid Wien,Nikolaus Wurmbrand,AUT,"MF,FW",18,2006,5.7,,3,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Rapid Wien,Noah Bischof,AUT,FW,21,2002,4.9,,4,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,Rapid Wien,Paul Gartler,AUT,GK,27,1997,2.7,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Rapid Wien,Roman Kerschbaum,AUT,MF,30,1994,0.2,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Rapid Wien,Romeo Amane,CIV,MF,21,2003,6.2,,6,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,Rapid Wien,Serge Raux Yao,FRA,DF,25,1999,29.0,,21,,,,,,,,,,,30,,,
AUT-Bundesliga,2024-25,Rapid Wien,Thierry Gale,BRB,MF,22,2002,0.2,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Rapid Wien,Tobias Børkeeiet,NOR,MF,25,1999,1.7,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Rapid Wien,Tobias Hedl,AUT,FW,21,2003,0.4,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SCR Altach,Alexander Gorgon,AUT,"FW,MF",35,1988,8.8,,4,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,SCR Altach,Ammar Helac,AUT,GK,26,1998,3.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SCR Altach,Benedikt Zech,AUT,DF,33,1990,15.9,,16,,,,,,,,,,,22,,,
AUT-Bundesliga,2024-25,SCR Altach,Christian Gebauer,AUT,"FW,MF",30,1993,7.3,,2,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,SCR Altach,Dejan Stojanović,AUT,GK,31,1993,29.0,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SCR Altach,Dijon Kameri,AUT,"MF,FW",20,2004,16.6,,3,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,SCR Altach,Djawal Kaïba,CMR,MF,21,2003,8.6,,8,,,,,,,,,,,9,,,
AUT-Bundesliga,2024-25,SCR Altach,Erkin Yalcin,AUT,FW,20,2004,0.1,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,SCR Altach,Filip Milojević,AUT,MF,19,2005,1.2,,2,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,SCR Altach,Florian Dietz,GER,FW,25,1998,5.3,,2,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,SCR Altach,Gustavo Santos Costa,BRA,FW,28,1996,8.7,,1,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,SCR Altach,Leonardo Lukacevic,AUT,"DF,MF",25,1999,16.2,,29,,,,,,,,,,,22,,,
AUT-Bundesliga,2024-25,SCR Altach,Lincoln,BRA,FW,23,2000,0.2,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SCR Altach,Luca Kronberger,AUT,"FW,MF",22,2002,4.7,,2,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,SCR Altach,Lukas Fadinger,AUT,"MF,FW",23,2000,12.9,,13,,,,,,,,,,,14,,,
AUT-Bundesliga,2024-25,SCR Altach,Lukas Fridrikas,AUT,FW,26,1997,16.2,,7,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,SCR Altach,Lukas Gugganig,AUT,DF,29,1995,17.6,,16,,,,,,,,,,,14,,,
AUT-Bundesliga,2024-25,SCR Altach,Lukas Jäger,AUT,MF,30,1994,11.9,,7,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,SCR Altach,Marlon Mustapha,AUT,"FW,MF",23,2001,8.5,,4,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,SCR Altach,Mike-Steven Bähre,GER,MF,28,1995,22.3,,32,,,,,,,,,,,43,,,
AUT-Bundesliga,2024-25,SCR Altach,Mohamed Ouédraogo,BFA,"MF,DF",21,2003,16.0,,17,,,,,,,,,,,33,,,
AUT-Bundesliga,2024-25,SCR Altach,Oliver Strunz,AUT,"FW,MF",24,2000,9.0,,4,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,SCR Altach,Ousmane Diawara,SWE,FW,24,1999,8.5,,3,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,SCR Altach,Pascal Juan Estrada,AUT,DF,22,2002,20.0,,20,,,,,,,,,,,24,,,
AUT-Bundesliga,2024-25,SCR Altach,Paul Koller,AUT,DF,22,2002,26.4,,23,,,,,,,,,,,50,,,
AUT-Bundesliga,2024-25,SCR Altach,Sandro Ingolitsch,AUT,"DF,MF",27,1997,25.8,,50,,,,,,,,,,,42,,,
AUT-Bundesliga,2024-25,SCR Altach,Sofian Bahloul,FRA,"FW,MF",24,1999,4.9,,2,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,SCR Altach,Steve Noode,CMR,DF,19,2005,0.6,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SCR Altach,Vesel Demaku,KVX,MF,24,2000,24.9,,43,,,,,,,,,,,26,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Aaron Schwarz,AUT,MF,20,2004,0.4,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Adem Mustafić,BIH,DF,16,2008,0.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Armin Karic,BIH,MF,19,2004,0.2,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Ben Bobzien,GER,"FW,MF",21,2003,29.5,,15,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Christopher Cvetko,AUT,MF,27,1997,25.2,,32,,,,,,,,,,,22,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Christopher Wernitznig,AUT,MF,34,1990,25.7,,39,,,,,,,,,,,21,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,David Toshevski,MKD,FW,23,2001,14.2,,7,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Dikeni-Rafid Salifou,TOG,MF,21,2003,18.7,,17,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Dino Delić,BIH,FW,15,2008,0.2,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Florian Jaritz,AUT,"MF,DF",26,1997,16.6,,12,,,,,,,,,,,14,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Jannik Robatsch,AUT,"DF,MF",19,2004,23.6,,32,,,,,,,,,,,34,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Jonas Kühn,GER,"MF,DF",22,2002,7.3,,7,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Keanan Bennetts,ENG,"MF,FW",25,1999,5.0,,5,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Kosmas Gezos,GRE,DF,31,1992,14.0,,23,,,,,,,,,,,30,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Laurenz Dehl,GER,FW,22,2001,2.3,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Marco Knaller,AUT,GK,37,1987,5.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Martin Hinteregger,AUT,DF,31,1992,14.0,,17,,,,,,,,,,,18,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Matteo Kitz,AUT,DF,17,2007,5.1,,9,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Nicolas Binder,AUT,FW,22,2002,13.8,,9,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Niklas Szerencsi,AUT,DF,24,2000,15.4,,13,,,,,,,,,,,27,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Philipp Wydra,AUT,FW,21,2003,5.1,,5,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Simon Spari,AUT,GK,22,2002,27.0,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Simon Straudi,ITA,"MF,DF",25,1999,17.8,,40,,,,,,,,,,,21,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Solomon Bonnah,NED,"MF,DF",20,2003,11.9,,15,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Thorsten Mahrer,AUT,DF,34,1990,28.5,,27,,,,,,,,,,,30,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Tobias Koch,AUT,MF,23,2001,24.4,,39,,,,,,,,,,,47,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Tristan Schoppitsch,AUT,MF,17,2006,0.0,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Amady Camara,MLI,FW,19,2005,6.8,,4,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Arjan Malic,BIH,DF,18,2005,4.1,,6,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Sturm Graz,Belmin Beganovic,BIH,FW,19,2004,0.4,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Sturm Graz,Daniil Khudiakov,RUS,GK,20,2004,2.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Dimitri Lavalée,BEL,DF,27,1997,28.6,,53,,,,,,,,,,,31,,,
AUT-Bundesliga,2024-25,Sturm Graz,Emanuel Aiwum,AUT,DF,23,2000,24.8,,13,,,,,,,,,,,18,,,
AUT-Bundesliga,2024-25,Sturm Graz,Emir Karic,AUT,DF,27,1997,7.5,,9,,,,,,,,,,,10,,,
AUT-Bundesliga,2024-25,Sturm Graz,Emran Soglo,ENG,DF,19,2005,0.9,,3,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Sturm Graz,Erencan Yardimci,TUR,FW,22,2002,2.3,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Fally Mayulu,FRA,FW,22,2002,0.8,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Gregory Wüthrich,SUI,DF,29,1994,18.6,,18,,,,,,,,,,,22,,,
AUT-Bundesliga,2024-25,Sturm Graz,Jacob Hodl,AUT,MF,17,2007,0.5,,2,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Jon Gorenc Stanković,SVN,MF,28,1996,22.7,,42,,,,,,,,,,,41,,,
AUT-Bundesliga,2024-25,Sturm Graz,Jusuf Gazibegović,BIH,DF,24,2000,13.2,,19,,,,,,,,,,,26,,,
AUT-Bundesliga,2024-25,Sturm Graz,Kjell Scherpen,NED,GK,24,2000,30.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Konstantin Schopp,AUT,DF,18,2005,0.1,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Leon Grgic,AUT,FW,18,2006,9.1,,5,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Lovro Zvonarek,CRO,"FW,MF",19,2005,4.3,,7,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Sturm Graz,Malick Yalcouye,CIV,MF,18,2005,22.0,,42,,,,,,,,,,,26,,,
AUT-Bundesliga,2024-25,Sturm Graz,Manprit Sarkaria,AUT,"FW,MF",27,1996,0.2,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Max Johnston,SCO,DF,20,2003,18.2,,17,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,Sturm Graz,Mika Biereth,DEN,"FW,MF",21,2003,14.1,,3,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,Sturm Graz,Niklas Geyrhofer,AUT,DF,24,2000,13.1,,11,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,Sturm Graz,Otar Kiteishvili,GEO,"MF,FW",28,1996,29.4,,42,,,,,,,,,,,35,,,
AUT-Bundesliga,2024-25,Sturm Graz,Peter Kiedl,AUT,FW,20,2004,0.1,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Sturm Graz,Seedy Jatta,NOR,"FW,MF",21,2003,13.8,,4,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Sturm Graz,Stefan Hierländer,AUT,MF,33,1991,1.2,,3,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,Sturm Graz,Tochi Chukwuani,DEN,MF,21,2003,13.8,,17,,,,,,,,,,,26,,,
AUT-Bundesliga,2024-25,Sturm Graz,Tomi Horvat,SVN,MF,25,1999,22.2,,27,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,Sturm Graz,William Bøving,DEN,"FW,MF",21,2003,24.1,,18,,,,,,,,,,,13,,,
AUT-Bundesliga,2024-25,WSG Tirol,Adam Stejskal,CZE,GK,21,2002,31.1,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,WSG Tirol,Alexander Eckmayr,AUT,FW,25,1999,1.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,WSG Tirol,Alexander Ranacher,AUT,"MF,FW",25,1998,6.6,,7,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,WSG Tirol,Bror Blume,DEN,"MF,FW",32,1992,14.8,,13,,,,,,,,,,,10,,,
AUT-Bundesliga,2024-25,WSG Tirol,Cem Üstündag,AUT,"MF,DF",23,2001,15.2,,24,,,,,,,,,,,15,,,
AUT-Bundesliga,2024-25,WSG Tirol,Christian Huetz,AUT,FW,18,2006,0.1,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,WSG Tirol,David Gugganig,AUT,DF,27,1997,22.3,,32,,,,,,,,,,,24,,,
AUT-Bundesliga,2024-25,WSG Tirol,David Jaunegg,AUT,DF,21,2003,15.8,,22,,,,,,,,,,,22,,,
AUT-Bundesliga,2024-25,WSG Tirol,Florian Rieder,AUT,FW,28,1996,5.6,,2,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,WSG Tirol,Jamie Lawrence,GER,DF,21,2002,27.9,,31,,,,,,,,,,,36,,,
AUT-Bundesliga,2024-25,WSG Tirol,Johannes Naschberger,AUT,MF,24,2000,12.2,,16,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,WSG Tirol,Jonas David,GER,DF,24,2000,16.2,,33,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,WSG Tirol,Justin Forst,AUT,FW,21,2003,0.5,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,WSG Tirol,Lennart-Marten Czyborra,GER,"MF,DF",25,1999,17.0,,14,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,WSG Tirol,Lukas Hinterseer,AUT,FW,33,1991,14.1,,7,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,WSG Tirol,Lukas Sulzbacher,AUT,"MF,DF",24,2000,16.2,,25,,,,,,,,,,,19,,,
AUT-Bundesliga,2024-25,WSG Tirol,Mahamadou Diarra,MLI,FW,20,2003,11.8,,5,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,WSG Tirol,Matthäus Taferner,AUT,MF,23,2001,25.2,,51,,,,,,,,,,,38,,,
AUT-Bundesliga,2024-25,WSG Tirol,Mazou Bambara,BFA,FW,22,2002,0.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,WSG Tirol,Osarenren Okungbowa,AUT,DF,30,1994,8.6,,11,,,,,,,,,,,12,,,
AUT-Bundesliga,2024-25,WSG Tirol,Quincy Butler,USA,"FW,MF",22,2001,26.4,,32,,,,,,,,,,,9,,,
AUT-Bundesliga,2024-25,WSG Tirol,Stefan Skrbo,AUT,"FW,MF",23,2001,15.9,,8,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,WSG Tirol,Thomas Geris,AUT,"MF,DF",21,2002,4.5,,5,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,WSG Tirol,Tobias Anselm,AUT,"FW,MF",24,2000,6.7,,2,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,WSG Tirol,Valentino Müller,AUT,MF,25,1999,31.9,,27,,,,,,,,,,,46,,,
AUT-Bundesliga,2024-25,WSG Tirol,Yannick Vötter,AUT,"MF,FW",19,2004,2.9,,3,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Abou Sylla,CIV,,17,2006,0.2,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Adis Jasic,AUT,"MF,DF",21,2003,21.7,,54,,,,,,,,,,,43,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Alessandro Schöpf,AUT,MF,30,1994,5.0,,12,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Angelo Gattermayer,AUT,"MF,FW",22,2002,14.6,,16,,,,,,,,,,,9,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Boris Matić,SRB,"MF,DF",19,2004,13.8,,24,,,,,,,,,,,23,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Cheikh Mamadou Diabaté,CIV,DF,20,2004,10.9,,19,,,,,,,,,,,18,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Chibuike Nwaiwu,NGA,"DF,MF",21,2003,22.4,,42,,,,,,,,,,,53,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,David Atanga,GHA,"MF,FW",27,1996,8.0,,6,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Dejan Zukić,SRB,"MF,FW",23,2001,25.7,,14,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Dominik Baumgartner,AUT,DF,28,1996,26.7,,48,,,,,,,,,,,28,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Emmanuel Ofori Agyemang,GHA,MF,20,2004,10.2,,13,,,,,,,,,,,12,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Erik Kojzek,SVN,FW,18,2006,7.6,,5,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Ervin Omic,AUT,"MF,DF",21,2003,11.9,,16,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Jonathan Scherzer,AUT,DF,29,1995,2.0,,3,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Lukas Gütlbauer,AUT,GK,23,2000,2.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Markus Pink,AUT,FW,33,1991,11.5,,2,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Maximilian Ullmann,AUT,"MF,DF",28,1996,29.1,,21,,,,,,,,,,,29,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Nicolas Wimmer,AUT,DF,29,1995,25.5,,36,,,,,,,,,,,46,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Nikolas Polster,AUT,GK,22,2002,30.0,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Pascal Müller,AUT,MF,21,2003,0.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Sandro Altunashvili,GEO,MF,27,1997,8.8,,12,,,,,,,,,,,19,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Sankara Karamoko,CIV,FW,20,2003,2.2,,2,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Simon Piesinger,AUT,MF,32,1992,26.8,,35,,,,,,,,,,,42,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Thierno Ballo,AUT,"FW,MF",22,2002,27.2,,22,,,,,,,,,,,10,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Thomas Sabitzer,AUT,FW,23,2000,4.9,,3,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Tobias Gruber,AUT,DF,19,2005,2.4,,5,,,,,,,,,,,6,,,
BEL-Belgian Pro League,2024-25,Anderlecht,Adryelson,BRA,DF,26,1998,6.0,7,4,7,0,0,6,6,100.0,0,5,3,2,5,12,47,0
BEL-Belgian Pro League,2024-25,Anderlecht,Alexis Flips,FRA,FW,24,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
BEL-Belgian Pro League,2024-25,Anderlecht,Ali Maamar,MAR,"DF,MF",19,2005,4.7,12,6,8,3,1,6,9,66.7,3,4,1,3,2,14,11,0
BEL-Belgian Pro League,2024-25,Anderlecht,Amando Lapage,BEL,DF,19,2004,1.1,3,1,3,0,0,3,3,100.0,0,1,0,1,1,4,6,0
BEL-Belgian Pro League,2024-25,Anderlecht,Anders Dreyer,DEN,FW,26,1998,15.3,8,6,2,4,2,3,14,21.4,11,5,1,4,3,11,9,0
BEL-Belgian Pro League,2024-25,Anderlecht,Colin Coosemans,BEL,GK,31,1992,28.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,17,3
BEL-Belgian Pro League,2024-25,Anderlecht,César Huerta,MEX,"MF,FW",23,2000,6.8,13,6,7,4,2,3,17,17.6,14,9,0,9,2,15,2,0
BEL-Belgian Pro League,2024-25,Anderlecht,Elyess Dao,MAR,"MF,FW",17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
BEL-Belgian Pro League,2024-25,Anderlecht,Francis Amuzu,BEL,FW,24,1999,7.9,10,8,5,3,2,5,12,41.7,7,1,0,1,3,13,3,0
BEL-Belgian Pro League,2024-25,Anderlecht,Jan Vertonghen,BEL,DF,37,1987,3.0,1,0,0,1,0,0,2,0.0,2,4,2,2,1,2,12,0
BEL-Belgian Pro League,2024-25,Anderlecht,Jan-Carlo Simic,SRB,DF,19,2005,22.1,17,9,9,8,0,6,9,66.7,3,25,21,4,25,42,86,1
BEL-Belgian Pro League,2024-25,Anderlecht,Kasper Dolberg,DEN,FW,26,1997,18.6,7,4,2,3,2,3,14,21.4,11,5,0,5,1,8,9,1
BEL-Belgian Pro League,2024-25,Anderlecht,Keisuke Goto,JPN,FW,19,2005,1.7,2,1,0,1,1,0,2,0.0,2,2,1,1,0,2,0,0
BEL-Belgian Pro League,2024-25,Anderlecht,Killian Sardella,BEL,"DF,MF",22,2002,21.8,44,29,24,14,6,22,37,59.5,15,23,8,15,10,54,49,0
BEL-Belgian Pro League,2024-25,Anderlecht,Kristian Arnstad,NOR,DF,20,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
BEL-Belgian Pro League,2024-25,Anderlecht,Leander Dendoncker,BEL,"MF,DF",29,1995,19.3,51,33,27,21,3,22,55,40.0,33,42,12,30,23,74,64,1
BEL-Belgian Pro League,2024-25,Anderlecht,Louis Patris,BEL,DF,23,2001,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
BEL-Belgian Pro League,2024-25,Anderlecht,Lucas Hey,DEN,DF,21,2003,7.2,11,6,6,5,0,3,10,30.0,7,7,5,2,3,14,27,1
BEL-Belgian Pro League,2024-25,Anderlecht,Ludwig Augustinsson,SWE,DF,30,1994,9.5,23,18,9,11,3,11,16,68.8,5,7,4,3,12,35,31,0
BEL-Belgian Pro League,2024-25,Anderlecht,Luis Vázquez,ARG,"FW,MF",23,2001,10.3,13,7,1,6,6,5,10,50.0,5,8,1,7,0,13,16,0
BEL-Belgian Pro League,2024-25,Anderlecht,Mads Kikkenborg,DEN,GK,24,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
BEL-Belgian Pro League,2024-25,Anderlecht,Majeed Ashimeru,GHA,MF,26,1997,4.2,9,7,5,3,1,2,5,40.0,3,1,0,1,6,15,5,0
BEL-Belgian Pro League,2024-25,Anderlecht,Mario Stroeykens,BEL,MF,19,2004,16.9,43,22,17,15,11,14,30,46.7,16,11,2,9,10,53,4,1
BEL-Belgian Pro League,2024-25,Anderlecht,Mathias Jørgensen,DEN,DF,34,1990,15.7,21,15,14,7,0,15,21,71.4,6,21,16,5,16,37,66,1
BEL-Belgian Pro League,2024-25,Anderlecht,Mats Rits,BEL,MF,31,1993,22.6,26,18,9,12,5,17,36,47.2,19,36,15,21,19,45,58,0
BEL-Belgian Pro League,2024-25,Anderlecht,Moussa N'Diaye,SEN,DF,22,2002,17.9,38,21,22,11,5,18,29,62.1,11,13,1,12,24,62,63,3
BEL-Belgian Pro League,2024-25,Anderlecht,Nilson Angulo,ECU,"FW,DF",21,2003,5.1,15,8,3,7,5,5,12,41.7,7,10,0,10,3,18,7,0
BEL-Belgian Pro League,2024-25,Anderlecht,Nunzio Engwanda,BEL,DF,16,2007,0.7,2,2,0,2,0,1,1,100.0,0,1,0,1,0,2,0,0
BEL-Belgian Pro League,2024-25,Anderlecht,Samuel Edozie,ENG,FW,21,2003,10.6,14,9,6,6,2,6,8,75.0,2,9,1,8,7,21,6,0
BEL-Belgian Pro League,2024-25,Anderlecht,Theo Leoni,BEL,"MF,DF",24,2000,15.1,26,18,11,11,4,18,34,52.9,16,10,0,10,19,45,26,0
BEL-Belgian Pro League,2024-25,Anderlecht,Thomas Foket,BEL,DF,29,1994,5.8,12,5,8,3,1,7,12,58.3,5,9,4,5,5,17,18,0
BEL-Belgian Pro League,2024-25,Anderlecht,Thorgan Hazard,BEL,"FW,MF",31,1993,7.5,14,8,5,7,2,7,17,41.2,10,6,0,6,0,14,3,0
BEL-Belgian Pro League,2024-25,Anderlecht,Tristan Degreef,BEL,"FW,MF",19,2005,4.2,14,8,2,9,3,8,14,57.1,6,2,0,2,3,17,4,0
BEL-Belgian Pro League,2024-25,Anderlecht,Yari Verschaeren,BEL,"MF,FW",23,2001,16.8,34,28,13,12,9,16,29,55.2,13,12,2,10,12,46,21,1
