league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
AUT-Bundesliga,2024-25,LASK,Nael Kane,CAN,FW,18,2006,0.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Oumar Diallo,CAN,FW,19,2005,0.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Philipp Ziereis,GER,DF,31,1993,24.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Queyrell Tchicamboud,FRA,MF,18,2005,0.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,René Renner,AUT,DF,30,1993,0.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Robert Žulj,AUT,"MF,FW",32,1992,22.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Samuel Adeniran,USA,FW,25,1998,6.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Sascha Horvath,AUT,MF,27,1996,24.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Lawal,AUT,GK,24,2000,17.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Schützenauer,AUT,GK,27,1997,2.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tomas Galvez,FIN,MF,19,2005,1.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tomás Tavares,POR,MF,23,2001,0.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Valon Berisha,KVX,MF,31,1993,15.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Adam Daghim,DEN,FW,18,2005,19.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Aleksa Terzić,SRB,DF,24,1999,18.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Alexander Schlager,AUT,GK,28,1996,21.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Amar Dedić,BIH,DF,21,2002,8.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Bobby Clark,ENG,"MF,FW",19,2005,7.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Daouda Guindo,MLI,DF,21,2002,5.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Edmund Baidoo,GHA,"MF,FW",18,2006,5.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Hendry Blank,GER,DF,19,2004,5.4,,,,,,,,,,,,,,,,
